calendar_id,is_working_day,is_holiday,month,day,year,day_of_week
1,0,0,1,1,2011,6
2,0,0,1,2,2011,0
3,1,0,1,3,2011,1
4,1,0,1,4,2011,2
5,1,0,1,5,2011,3
6,1,0,1,6,2011,4
7,1,0,1,7,2011,5
8,0,0,1,8,2011,6
9,0,0,1,9,2011,0
10,1,0,1,10,2011,1
11,1,0,1,11,2011,2
12,1,0,1,12,2011,3
13,1,0,1,13,2011,4
14,1,0,1,14,2011,5
15,0,0,1,15,2011,6
16,0,0,1,16,2011,0
17,0,1,1,17,2011,1
18,1,0,1,18,2011,2
19,1,0,1,19,2011,3
20,1,0,1,20,2011,4
21,1,0,1,21,2011,5
22,0,0,1,22,2011,6
23,0,0,1,23,2011,0
24,1,0,1,24,2011,1
25,1,0,1,25,2011,2
26,1,0,1,26,2011,3
27,1,0,1,27,2011,4
28,1,0,1,28,2011,5
29,0,0,1,29,2011,6
30,0,0,1,30,2011,0
31,1,0,1,31,2011,1
32,1,0,2,1,2011,2
33,1,0,2,2,2011,3
34,1,0,2,3,2011,4
35,1,0,2,4,2011,5
36,0,0,2,5,2011,6
37,0,0,2,6,2011,0
38,1,0,2,7,2011,1
39,1,0,2,8,2011,2
40,1,0,2,9,2011,3
41,1,0,2,10,2011,4
42,1,0,2,11,2011,5
43,0,0,2,12,2011,6
44,0,0,2,13,2011,0
45,1,0,2,14,2011,1
46,1,0,2,15,2011,2
47,1,0,2,16,2011,3
48,1,0,2,17,2011,4
49,1,0,2,18,2011,5
50,0,0,2,19,2011,6
51,0,0,2,20,2011,0
52,0,1,2,21,2011,1
53,1,0,2,22,2011,2
54,1,0,2,23,2011,3
55,1,0,2,24,2011,4
56,1,0,2,25,2011,5
57,0,0,2,26,2011,6
58,0,0,2,27,2011,0
59,1,0,2,28,2011,1
60,1,0,3,1,2011,2
61,1,0,3,2,2011,3
62,1,0,3,3,2011,4
63,1,0,3,4,2011,5
64,0,0,3,5,2011,6
65,0,0,3,6,2011,0
66,1,0,3,7,2011,1
67,1,0,3,8,2011,2
68,1,0,3,9,2011,3
69,1,0,3,10,2011,4
70,1,0,3,11,2011,5
71,0,0,3,12,2011,6
72,0,0,3,13,2011,0
73,1,0,3,14,2011,1
74,1,0,3,15,2011,2
75,1,0,3,16,2011,3
76,1,0,3,17,2011,4
77,1,0,3,18,2011,5
78,0,0,3,19,2011,6
79,0,0,3,20,2011,0
80,1,0,3,21,2011,1
81,1,0,3,22,2011,2
82,1,0,3,23,2011,3
83,1,0,3,24,2011,4
