wind_speed_id,wind_category
1,Середній вітер
2,Середній вітер
3,Середній вітер
4,Середній вітер
5,Середній вітер
6,Малий вітер
7,Середній вітер
8,Середній вітер
9,Середній вітер
10,Середній вітер
11,Малий вітер
12,Середній вітер
13,Середній вітер
14,Малий вітер
15,Середній вітер
16,Середній вітер
17,Середній вітер
18,Малий вітер
19,Середній вітер
20,Середній вітер
21,Середній вітер
22,Середній вітер
23,Середній вітер
24,Середній вітер
25,Малий вітер
26,Середній вітер
27,Малий вітер
28,Малий вітер
29,Малий вітер
30,Малий вітер
31,Середній вітер
32,Малий вітер
33,Середній вітер
34,Середній вітер
35,Малий вітер
36,Середній вітер
37,Малий вітер
38,Малий вітер
39,Середній вітер
40,Середній вітер
41,Середній вітер
42,Малий вітер
43,Середній вітер
44,Середній вітер
45,Сильний вітер
46,Середній вітер
47,Середній вітер
48,Середній вітер
49,Середній вітер
50,Сильний вітер
51,Середній вітер
52,Середній вітер
53,Середній вітер
54,Малий вітер
55,Середній вітер
56,Середній вітер
57,Середній вітер
58,Малий вітер
59,Середній вітер
60,Середній вітер
61,Середній вітер
62,Середній вітер
63,Середній вітер
64,Середній вітер
65,Середній вітер
66,Середній вітер
67,Малий вітер
68,Середній вітер
69,Середній вітер
70,Середній вітер
71,Середній вітер
72,Середній вітер
73,Малий вітер
74,Середній вітер
75,Середній вітер
76,Середній вітер
77,Середній вітер
78,Середній вітер
79,Середній вітер
80,Середній вітер
81,Середній вітер
82,Середній вітер
83,Середній вітер
84,Середній вітер
85,Середній вітер
86,Середній вітер
87,Середній вітер
88,Середній вітер
89,Середній вітер
90,Середній вітер
91,Середній вітер
92,Середній вітер
93,Середній вітер
94,Сильний вітер
95,Сильний вітер
96,Середній вітер
97,Середній вітер
98,Середній вітер
99,Малий вітер
100,Малий вітер
101,Середній вітер
102,Середній вітер
103,Середній вітер
104,Малий вітер
105,Середній вітер
106,Середній вітер
107,Середній вітер
108,Середній вітер
109,Середній вітер
110,Середній вітер
111,Середній вітер
112,Середній вітер
113,Середній вітер
114,Середній вітер
115,Середній вітер
116,Середній вітер
117,Середній вітер
118,Середній вітер
119,Середній вітер
120,Середній вітер
121,Малий вітер
122,Середній вітер
123,Середній вітер
124,Середній вітер
125,Середній вітер
126,Середній вітер
127,Середній вітер
128,Малий вітер
129,Середній вітер
130,Малий вітер
131,Малий вітер
132,Середній вітер
133,Середній вітер
134,Малий вітер
135,Середній вітер
136,Малий вітер
137,Середній вітер
138,Середній вітер
139,Малий вітер
140,Малий вітер
141,Малий вітер
142,Малий вітер
143,Середній вітер
144,Середній вітер
145,Середній вітер
146,Середній вітер
147,Середній вітер
148,Середній вітер
149,Середній вітер
150,Малий вітер
151,Малий вітер
152,Середній вітер
153,Середній вітер
154,Середній вітер
155,Малий вітер
156,Малий вітер
157,Малий вітер
158,Середній вітер
159,Малий вітер
160,Середній вітер
161,Малий вітер
162,Середній вітер
163,Середній вітер
164,Середній вітер
165,Середній вітер
166,Середній вітер
167,Середній вітер
168,Малий вітер
169,Малий вітер
170,Малий вітер
171,Середній вітер
172,Середній вітер
173,Середній вітер
174,Середній вітер
175,Середній вітер
176,Середній вітер
177,Малий вітер
178,Малий вітер
179,Малий вітер
180,Середній вітер
181,Середній вітер
182,Малий вітер
183,Малий вітер
184,Середній вітер
185,Малий вітер
186,Малий вітер
187,Середній вітер
188,Середній вітер
189,Середній вітер
190,Середній вітер
191,Середній вітер
192,Середній вітер
193,Середній вітер
194,Малий вітер
195,Середній вітер
196,Середній вітер
197,Середній вітер
198,Середній вітер
199,Середній вітер
200,Малий вітер
201,Малий вітер
202,Середній вітер
203,Малий вітер
204,Малий вітер
205,Середній вітер
206,Малий вітер
207,Середній вітер
208,Середній вітер
209,Середній вітер
210,Середній вітер
211,Середній вітер
212,Середній вітер
213,Середній вітер
214,Середній вітер
215,Малий вітер
216,Середній вітер
217,Середній вітер
218,Середній вітер
219,Середній вітер
220,Середній вітер
221,Середній вітер
222,Середній вітер
223,Середній вітер
224,Малий вітер
225,Середній вітер
226,Середній вітер
227,Середній вітер
228,Середній вітер
229,Малий вітер
230,Середній вітер
231,Малий вітер
232,Малий вітер
233,Середній вітер
234,Середній вітер
235,Малий вітер
236,Середній вітер
237,Середній вітер
238,Малий вітер
239,Сильний вітер
240,Середній вітер
241,Середній вітер
242,Малий вітер
243,Малий вітер
244,Малий вітер
245,Малий вітер
246,Середній вітер
247,Середній вітер
248,Середній вітер
249,Середній вітер
250,Малий вітер
251,Середній вітер
252,Малий вітер
253,Середній вітер
254,Малий вітер
255,Малий вітер
256,Малий вітер
257,Середній вітер
258,Середній вітер
259,Середній вітер
260,Середній вітер
261,Середній вітер
